Titre,Tonalité,Accords,Degrés,Rythmique,Enchainement des accords,Swing,Niveau difficulté
Aline,DO majeur,"C, E, F, G","I, III, IV, V",12/8,Normal,NON,1
Armstrong,SOL mineur,"Gm, D, Cm, Bb, Eb","i, V, iv, III, VI",4/4,Rapide,OUI,3
A toi,LA mineur,"Am, Dm, G, C, E","i, iv, VII, III, V",4/4,Normal,NON,2
Back to Black,RÉ mineur,"Dm, Gm, Bb, A, F","i, iv, VI, V, III",4/4,Lent,OUI,1
Blowin' in the wind,RÉ majeur,"D, G, A","I, IV, V",4/4,Rapide,NON,1
Can't Help Falling in Love,RÉ majeur,"D, F#m, Bm, G, A, C#, B, Em","I, iii, vi, IV, V",6/8,Normal,NON,2
Chanson pour l'auvergnat,SI mineur,"Bm, F#, A, D, G, E","i, V, VII, III, VI, IV",3/4,Normal,NON,3
Chanson sur ma drole de vie,LA majeur,"A, E, D, Dm, F#, Bm, Am, C#, F#m","I, V, IV, iv, ii, i, III, vi, VI",4/4,Rapide,NON,3
Emmenez-moi,LA mineur,"Am, G, E, F, C","i, VII, V, VI, III",6/8,Rapide,NON,2
Et si tu n'existais pas,LA mineur,"Am, Dm, E, G, C","i, iv, V, VII, III",4/4,Normal,NON,1
Fly Me To The Moon,DO majeur,"Am, Dm, G, C, A, F, E","vi, ii, V, I, VI, IV, III",4/4,Normal,OUI,2
Get Lucky,LA majeur,"Bm, D, F#m, E","ii, IV, V, vi",4/4,Normal,NON,2
Il jouait du piano debout,MIb majeur,"Eb, Bb, Cm, Ab, G","I, V, vi, IV, III",4/4,Rapide,NON,2
Jardin d'hiver,LA majeur,"C#, F#m, Bm, E, A","III, vi, ii, V, I",4/4,Normal,NON,2
Je l'aime à mourir,FA majeur,"F, Am, Dm, Gm, Bb, C, Eb","I, iii, vi, ii, IV, V, bVII",4/4,Lent,NON,2
Je suis venu te dire que je m'en vais,LA majeur,"A, C#m, G#m, D, E, Bm","I, iii, vii, IV, V, ii",4/4,Lent,NON,1
Je t'aimais je t'aime et je t'aimerais,SOLb majeur,"Gb, Db, B, Ebm, Abm","I, V, IV, vi, ii",4/4,Lent,NON,1
Jimmy,RÉb majeur,"Bbm, Db, Ab, Gb, Fm, F","vi, I, V, IV, iii, III",4/4,Normal,NON,2
Knockin' On Heaven's Door,SOL majeur,"G, D, Am, C","i, V, IV, ii",4/4,Normal,NON,1
Les copains d'abord,RÉ majeur,"D, E, G, F#, Bm, A","I, II, IV, III, vi, V",4/4,Rapide,NON,3
Les yeux revolvers,FA majeur,"F, Bb, C, Am, Dm, A","I, IV, V, iii, vi, III",4/4,Normal,NON,1
Lucie,SIb majeur,"Gm, D, F, C, Eb, Bb, Cm","vi, III, V, II, IV, ii, I",4/4,Rapide,NON,2
Manhattan-Kaboul,DO majeur,"C, F, G, Am, E, Dm","I, IV, V, vi, III, ii",4/4,Rapide,NON,3
Mon amant de Saint-Jean,SOL mineur,"Gm, Cm, D, F, Bb, A, D","i, iv, V, VII, III",3/4,Normal,NON,2
Perfect,LAb majeur,"Ab, Fm, Db, Eb","I, vi, IV, V",12/8,Lente,NON,1
Quelqu'un m'a dit,SIb majeur,"Bb, F, Gm, Eb","I, V, vi, IV",3/4,Normal,NON,2
Résiste,SOL mineur,"Gm, Bb, C, Eb, Cm, D, F, A, Ab","i, III, IV, VI, V, iv, II",4/4,Normal,NON,3
Somwhere Only we Know,LA majeur,"A, C#m, Bm, E, F#m, D","I, iii, ii, V, vi, IV",4/4,Normal,NON,2
Stand by me,LA majeur,"A, F#m, D, E","I, vi, IV, V",4/4,Lent,NON,1
The scientist,FA majeur,"Dm, Bb, F, F/E, C","I, IV, V, vi",4/4,Lent,NON,1
Hallelujah,DO majeur,"C, Am, F, G, E","I, vi, IV, V, III",6/8,Normal,OUI,1
Cry me a river,LA mineur,"Am, F, E, Dm","i, iv, V, VI",4/4,Normal,OUI,1