Titre,Tonalité,Accords,Degrés,Rythmique,Rythme,Enchainement des accords,Swing,Niveau difficulté,Lien partition,Lien exercice,Module
Aline,DO majeur,"C, E, F, G","I, III, IV, V",12/8,Ternaire,Normal,NON,1,https://www.soundslice.com/slices/Zj-Hc/,https://www.soundslice.com/slices/R-cTc/,1
Armstrong,SOL mineur,"Gm, D, Cm, Bb, Eb","i, V, iv, III, VI",4/4,Binaire,Rapide,OUI,3,https://www.soundslice.com/slices/Bw2Tc/,https://www.soundslice.com/slices/2-cTc/,3
A toi,LA mineur,"Am, Dm, G, C, E","i, iv, VII, III, V",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/dL-Hc/,https://www.soundslice.com/slices/y-cTc/,1
Back to Black,RÉ mineur,"Dm, Gm, Bb, A, F","i, iv, VI, V, III",4/4,Binaire,Lent,OUI,1,https://www.soundslice.com/slices/QB-Hc/,https://www.soundslice.com/slices/V-cTc/,3
Blowin' in the wind,RÉ majeur,"D, G, A","I, IV, V",4/4,Binaire,Rapide,NON,1,https://www.soundslice.com/slices/nCQHc/,https://www.soundslice.com/slices/QxcTc/,2
Can't Help Falling in Love,RÉ majeur,"D, F#m, Bm, G, A, C#, B, Em","I, iii, vi, IV, V",6/8,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/gRQHc/,https://www.soundslice.com/slices/PxcTc/,3
Chanson pour l'auvergnat,SI mineur,"Bm, F#, A, D, G, E","i, V, VII, III, VI, IV",3/4,Ternaire,Normal,NON,3,https://www.soundslice.com/slices/vqrHc/,https://www.soundslice.com/slices/ZxcTc/,4
Chanson sur ma drole de vie,LA majeur,"A, E, D, Dm, F#, Bm, Am, C#, F#m","I, V, IV, iv, ii, i, III, vi, VI",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/WrgHc/,https://www.soundslice.com/slices/7xcTc/,4
Emmenez-moi,LA mineur,"Am, G, E, F, C","i, VII, V, VI, III",6/8,Ternaire,Rapide,NON,2,https://www.soundslice.com/slices/-GgHc/,https://www.soundslice.com/slices/dxcTc/,1
Et si tu n'existais pas,LA mineur,"Am, Dm, E, G, C","i, iv, V, VII, III",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/7HTTc/,https://www.soundslice.com/slices/G1TTc/,1
Fly Me To The Moon,DO majeur,"Am, Dm, G, C, A, F, E","vi, ii, V, I, VI, IV, III",4/4,Binaire,Normal,OUI,2,https://www.soundslice.com/slices/sGgHc/,https://www.soundslice.com/slices/sxcTc/,2
Get Lucky,LA majeur,"Bm, D, F#m, E","ii, IV, V, vi",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/gjFHc/,https://www.soundslice.com/slices/TxcTc/,2
Il jouait du piano debout,MIb majeur,"Eb, Bb, Cm, Ab, G","I, V, vi, IV, III",4/4,Binaire,Rapide,NON,2,https://www.soundslice.com/slices/ZjFHc/,https://www.soundslice.com/slices/zxcTc/,3
Jardin d'hiver,LA majeur,"C#, F#m, Bm, E, A","III, vi, ii, V, I",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/5SnHc/,https://www.soundslice.com/slices/3xcTc/,2
Je l'aime à mourir,FA majeur,"F, Am, Dm, Gm, Bb, C, Eb","I, iii, vi, ii, IV, V, bVII",4/4,Binaire,Lent,NON,2,https://www.soundslice.com/slices/6h5Hc/,https://www.soundslice.com/slices/H-cTc/,3
Je suis venu te dire que je m'en vais,LA majeur,"A, C#m, G#m, D, E, Bm","I, iii, vii, IV, V, ii",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/Rh5Hc/,https://www.soundslice.com/slices/b-cTc/,3
Je t'aimais je t'aime et je t'aimerais,SOLb majeur,"Gb, Db, B, Ebm, Abm","I, V, IV, vi, ii",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/Cr5Hc/,https://www.soundslice.com/slices/8-cTc/,4
Jimmy,RÉb majeur,"Bbm, Db, Ab, Gb, Fm, F","vi, I, V, IV, iii, III",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/C65Hc/,https://www.soundslice.com/slices/P-cTc/,2
Knockin' On Heaven's Door,SOL majeur,"G, D, Am, C","i, V, IV, ii",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/c5FHc/,https://www.soundslice.com/slices/K-cTc/,2
Les copains d'abord,RÉ majeur,"D, E, G, F#, Bm, A","I, II, IV, III, vi, V",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/Wm5Hc/,https://www.soundslice.com/slices/--cTc/,4
Les yeux revolvers,FA majeur,"F, Bb, C, Am, Dm, A","I, IV, V, iii, vi, III",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/xFgHc/,https://www.soundslice.com/slices/g-cTc/,3
Lucie,SIb majeur,"Gm, D, F, C, Eb, Bb, Cm","vi, III, V, II, IV, ii, I",4/4,Binaire,Rapide,NON,2,https://www.soundslice.com/slices/qvnHc/,https://www.soundslice.com/slices/r-cTc/,3
Manhattan-Kaboul,DO majeur,"C, F, G, Am, E, Dm","I, IV, V, vi, III, ii",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/vrnHc/,https://www.soundslice.com/slices/h-cTc/,1
Mon amant de Saint-Jean,SOL mineur,"Gm, Cm, D, F, Bb, A, D","i, iv, V, VII, III",3/4,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/85nHc/,https://www.soundslice.com/slices/NQcTc/,3
Perfect,LAb majeur,"Ab, Fm, Db, Eb","I, vi, IV, V",12/8,Ternaire,Lente,NON,1,https://www.soundslice.com/slices/QQnHc/,https://www.soundslice.com/slices/cQcTc/,4
Quelqu'un m'a dit,SIb majeur,"Bb, F, Gm, Eb","I, V, vi, IV",3/4,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/B2QHc/,https://www.soundslice.com/slices/VQcTc/,3
Résiste,SOL mineur,"Gm, Bb, C, Eb, Cm, D, F, A, Ab","i, III, IV, VI, V, iv, II",4/4,Binaire,Normal,NON,3,https://www.soundslice.com/slices/V2QHc/,https://www.soundslice.com/slices/MQcTc/,3
Somwhere Only we Know,LA majeur,"A, C#m, Bm, E, F#m, D","I, iii, ii, V, vi, IV",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/mP-Hc/,https://www.soundslice.com/slices/4QcTc/,2
Stand by me,LA majeur,"A, F#m, D, E","I, vi, IV, V",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/HP-Hc/,https://www.soundslice.com/slices/lQcTc/,2
The scientist,FA majeur,"Dm, Bb, F, F/E, C","I, IV, V, vi",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/-6gHc/,https://www.soundslice.com/slices/WlkTc/,
Hallelujah,DO majeur,"C, Am, F, G, E","I, vi, IV, V, III",6/8,Ternaire,Normal,OUI,1,https://www.soundslice.com/slices/kKVTc/,https://www.soundslice.com/slices/slkTc/,1
Cry me a river,LA mineur,"Am, F, E, Dm","i, iv, V, VI",4/4,Binaire,Normal,OUI,1,https://www.soundslice.com/slices/cwkTc/,https://www.soundslice.com/slices/HlkTc/,1